"","nrow","nlevels","successes","trials","mean","lower","upper"
"1",20,10,216,1000,0.216,0.190860887267526,0.242822931103999
"2",40,20,266,1000,0.266,0.238835574863303,0.294549436680339
"3",60,30,369,1000,0.369,0.339015902992236,0.399757953869436
"4",80,40,451,1000,0.451,0.419842606535363,0.482446665047567
"5",100,50,534,1000,0.534,0.502520370210263,0.565278921112272
"6",120,60,606,1000,0.606,0.574938801728937,0.63643519027277
"7",140,70,662,1000,0.662,0.631737906598606,0.691304701317906
"8",160,80,723,1000,0.723,0.694133923415823,0.75054655799299
"9",180,90,774,1000,0.774,0.746791397104048,0.799584720317867
"10",200,100,824,1000,0.824,0.798953487282192,0.847121710383569
"11",220,110,860,1000,0.86,0.836934284799045,0.880921502618644
"12",240,120,887,1000,0.887,0.865728219196462,0.905960333245612
"13",260,130,907,1000,0.907,0.887280582298844,0.924281597393135
"14",280,140,922,1000,0.922,0.903606366597417,0.937858786867286
"15",300,150,946,1000,0.946,0.930125994422933,0.959176648874369
"16",320,160,953,1000,0.953,0.937987369306695,0.965264937733204
"17",340,170,959,1000,0.959,0.944787540684701,0.970419831465964
"18",360,180,966,1000,0.966,0.952810561384293,0.976341351892403
"19",380,190,975,1000,0.975,0.963315176948077,0.983757464303118
"20",400,200,981,1000,0.981,0.970487598374902,0.988522963006899
"21",420,210,986,1000,0.986,0.976621843989686,0.992325498434979
"22",440,220,987,1000,0.987,0.977872196363222,0.993060382497149
"23",460,230,990,1000,0.99,0.981686756944888,0.995194489308951
"24",480,240,995,1000,0.995,0.988370529440188,0.998374580482437
"25",500,250,994,1000,0.994,0.986986576729025,0.997795017514849
"26",520,260,995,1000,0.995,0.988370529440188,0.998374580482437
"27",540,270,995,1000,0.995,0.988370529440188,0.998374580482437
"28",560,280,995,1000,0.995,0.988370529440188,0.998374580482437
"29",580,290,997,1000,0.997,0.991257976761522,0.99938090006835
"30",600,300,998,1000,0.998,0.992794161088542,0.999757698883123
